quartier,commune,valid_anchors,confirm_eligible,corrected_road_length_m
Anagbo,ABOMEY-CALAVI,0,0,0.0
Assrossa,,0,0,0.0
"Assrossa
",ABOMEY-CALAVI,0,0,79.1
Atrokpo-Codji,ABOMEY-CALAVI,5,4,999.7
Avagbé,ABOMEY-CALAVI,0,0,106.1
Avlékété-Joncquet,COTONOU,0,0,270.9
Avotrou-Aïmonlonfidé,COTONOU,1,0,178.2
Avotrou-Gbègo,COTONOU,16,8,3648.2
Avotrou-Houézèkomè,COTONOU,1,1,934.4
Ayélawadjè,COTONOU,4,3,2246.8
Ayélawadjè-Agongbomè,COTONOU,3,0,209.1
Azonsa,ABOMEY-CALAVI,0,0,1073.0
Aïbatin-Dodo,COTONOU,1,1,643.8
Aïdjèdo,COTONOU,8,4,1491.9
Aïdjèdo-Ahito,COTONOU,1,1,253.7
Aïdjèdo-Gbègo,COTONOU,0,0,439.6
Aïdjèdo-Vignon,COTONOU,0,0,292.5
Aïdégnon,,0,0,0.0
"Aïdégnon
",ABOMEY-CALAVI,0,0,43.8
Aïfa-Calavi,ABOMEY-CALAVI,0,0,1079.4
Aïmèvo,,0,0,0.0
"Aïmèvo
",ABOMEY-CALAVI,0,0,54.5
Aïtchédji,,0,0,0.0
"Aïtchédji
",ABOMEY-CALAVI,0,0,484.7
Bocossi-Tokpa,COTONOU,1,1,1530.2
Cadjèhoun-Agonga,COTONOU,0,0,573.3
Cadjèhoun-Aupiais,COTONOU,3,3,1229.5
Cadjèhoun-Azalokogon,COTONOU,12,7,14953.0
Cadjèhoun-Détinsa,COTONOU,1,1,3189.3
Cadjèhoun-Gare,COTONOU,3,2,2051.1
Cadjèhoun-Kpota,COTONOU,7,2,1473.5
Cité-la-Victoire,,0,0,0.0
"Cité-la-Victoire
",ABOMEY-CALAVI,0,0,10.2
Cité-les-Palmiers,,0,0,0.0
"Cité-les-Palmiers
",ABOMEY-CALAVI,0,0,794.2
Cococodji,ABOMEY-CALAVI,23,19,1246.0
Cocotomey,ABOMEY-CALAVI,27,19,35120.4
Dandji,COTONOU,2,2,4688.7
Dandji-Hokanmè,COTONOU,0,0,955.2
Dantôkpa,COTONOU,8,5,1406.7
Dassèkomey,ABOMEY-CALAVI,0,0,1829.5
"Dessato
",ABOMEY-CALAVI,0,0,1581.7
Djidjè,COTONOU,3,2,1965.3
Djidjè-Aïchédji,COTONOU,1,1,631.1
Djissoukpa,ABOMEY-CALAVI,1,1,373.3
Djoukpa-Togoudo,,0,0,0.0
"Djoukpa-Togoudo
",ABOMEY-CALAVI,0,0,198.4
Djèkpota,ABOMEY-CALAVI,3,2,1323.8
Djédjé-Layé,COTONOU,0,0,2427.3
Dokomè,ABOMEY-CALAVI,0,0,606.3
Domey-Gbo,ABOMEY-CALAVI,0,0,1451.9
Donaten,COTONOU,3,3,2682.3
Dossounou,ABOMEY-CALAVI,4,3,566.6
Dota,COTONOU,0,0,36.7
Drabo,ABOMEY-CALAVI,0,0,2634.8
Dèkoungbé,,0,0,0.0
"Dèkoungbé
",ABOMEY-CALAVI,0,0,2853.6
Dèkoungbé-Église,,0,0,0.0
Dédokpo,COTONOU,4,3,1455.3
Dénou,,0,0,0.0
"Dénou
",ABOMEY-CALAVI,0,0,2809.3
Espace-Saint,ABOMEY-CALAVI,0,0,0.0
Fandji,,0,0,0.0
"Fandji
",ABOMEY-CALAVI,0,0,404.1
Fidjrossè-Centre,COTONOU,8,5,1187.8
Fidjrossè-Kpota,COTONOU,43,7,3611.5
Fifadji,COTONOU,11,10,2338.0
Fifadji-Houto (Jak),COTONOU,1,1,2665.3
Fifatin,COTONOU,1,1,1197.5
Fifonsi,,0,0,0.0
"Fifonsi
",ABOMEY-CALAVI,0,0,330.1
Fignon-Sikê,COTONOU,0,0,380.4
Fignonhou,,0,0,0.0
Finafa,,0,0,0.0
Finagnon,COTONOU,3,2,2051.9
Fiyégnon-Houta,,0,0,0.0
Fiyégnon-Jacquot,COTONOU,1,1,2933.6
Gankpodo,COTONOU,9,9,5587.9
Gbodjo,ABOMEY-CALAVI,2,2,11.7
Gbodjoko,ABOMEY-CALAVI,1,1,300.5
Gbodjè,,0,0,0.0
Gbodjè-Womey,,0,0,0.0
"Gbodjè-Womey
",ABOMEY-CALAVI,0,0,1705.6
Gbodjètin,,0,0,0.0
Gbèdagba,COTONOU,0,0,91.1
Gbèdiga-Guêdêhounguè,COTONOU,0,0,1686.3
Gbèdjromèdè,COTONOU,5,1,211.4
Gbèdjromèdè-Nord,COTONOU,1,0,40.9
Gbèdjèwin,COTONOU,1,1,82.4
Gbèdomidji,COTONOU,1,1,0.0
Gbèdégbé,COTONOU,2,2,3950.3
Gbègnigan-Midokpo,,0,0,0.0
"Gbègnigan-Midokpo
",ABOMEY-CALAVI,0,0,66.6
Gbènan,COTONOU,0,0,488.5
Gbédokpo,COTONOU,0,0,750.6
Gbégamey-Ahito,COTONOU,2,1,512.9
Gbégamey-Centre,COTONOU,10,4,887.3
Gbégamey-Dodo-Ayidjè,COTONOU,9,3,2001.8
Gbégamey-Gbagoudo,COTONOU,0,0,1363.3
Gbégamey-Mifongou,COTONOU,5,4,4378.9
Gbétagbo,ABOMEY-CALAVI,4,3,1947.9
Gbéto,COTONOU,2,2,2272.4
Glo-Tokpa,ABOMEY-CALAVI,2,2,78.3
"Gninkindji
",ABOMEY-CALAVI,0,0,186.5
Godomey-N'Gbèho,ABOMEY-CALAVI,2,2,710.8
Godomey-Togoudo,ABOMEY-CALAVI,7,3,778.3
Golo-Djigbé,ABOMEY-CALAVI,3,3,7352.8
Golo-Fanto,ABOMEY-CALAVI,0,0,17.6
Guinkômey,COTONOU,3,2,4658.6
Haie-Vive-Cocotiers,COTONOU,11,11,3305.9
Hindé-Nord,COTONOU,0,0,147.8
Hindé-Sud,COTONOU,3,1,184.4
Hlacômey,COTONOU,1,1,815.5
Hlazounto,COTONOU,6,5,4744.2
Hlouacomey,ABOMEY-CALAVI,0,0,732.3
Houinmè,ABOMEY-CALAVI,0,0,595.9
Houinmè-Daho,ABOMEY-CALAVI,0,0,270.2
Hounsa-Agbodokpa,,0,0,0.0
"Hounsa-Agbodokpa
",ABOMEY-CALAVI,0,0,51.9
"Hounzévié
",ABOMEY-CALAVI,0,0,856.5
Houèkè-Gbo,ABOMEY-CALAVI,0,0,510.2
Houèkè-Honou,ABOMEY-CALAVI,2,0,430.2
Houèto,ABOMEY-CALAVI,6,5,3757.5
"Houégoudo
",ABOMEY-CALAVI,0,0,144.9
Houéhoun,COTONOU,1,0,202.1
Houénoussou,COTONOU,1,1,510.3
Houénoussou-Sainte-Rita,COTONOU,4,0,71.5
Houéyihô,COTONOU,11,7,6337.1
Houéyihô-Tannou,COTONOU,0,0,1562.2
"Hêdomè
",ABOMEY-CALAVI,0,0,74.6
Hêvié,ABOMEY-CALAVI,11,2,4931.5
Irédé,COTONOU,5,2,399.1
Jéricho-Nord,COTONOU,5,3,3127.1
Jéricho-Sud,COTONOU,0,0,180.3
Kansounkpa,ABOMEY-CALAVI,2,2,1766.1
Kindonou,COTONOU,7,7,325.0
Kolètin,ABOMEY-CALAVI,0,0,3555.5
Kouhounou,COTONOU,6,3,4214.5
Kowégbo,COTONOU,0,0,382.0
Kpankpan,COTONOU,2,2,3494.6
Kpanroun,ABOMEY-CALAVI,5,4,32.9
Kpodji-Les-Monts,ABOMEY-CALAVI,2,1,2206.2
Kpondéhou,COTONOU,12,9,4436.1
Kpondéhou-Tchèmè,COTONOU,0,0,263.8
Kpossidja,ABOMEY-CALAVI,2,1,1016.7
Kpotomey,ABOMEY-CALAVI,0,0,154.6
Kpé,ABOMEY-CALAVI,0,0,11.0
La-Paix,,0,0,0.0
Ladji,COTONOU,0,0,14.1
Logbozounkpa,ABOMEY-CALAVI,0,0,1649.5
Lohoussa,ABOMEY-CALAVI,0,0,646.3
Lom-Nava,COTONOU,3,1,785.1
Maria-Gléta,,0,0,0.0
"Maria-Gléta
",ABOMEY-CALAVI,0,0,714.5
Midombo,COTONOU,11,6,4205.4
Midédji,COTONOU,1,1,0.0
Mifongou,COTONOU,0,0,644.8
Minonkpô-Wologuèdè,COTONOU,7,6,1355.4
Minontchou,COTONOU,4,2,999.1
Missité,COTONOU,2,1,390.9
Missogbé,COTONOU,0,0,1439.4
Missèbô,COTONOU,12,11,4154.5
Missèkplé,COTONOU,0,0,220.0
Misséssin,COTONOU,3,1,6962.4
Misséssinto,ABOMEY-CALAVI,2,2,1190.0
Mènontin,COTONOU,14,13,9972.2
"Nonhouénou
",ABOMEY-CALAVI,0,0,5224.1
Nouveau-Pont,COTONOU,0,0,463.7
Nvènamèdé,COTONOU,0,0,458.6
Ohé,COTONOU,0,0,1339.7
Ounvènoumèdé,,0,0,0.0
"Ounvènoumèdé
",ABOMEY-CALAVI,0,0,23.4
Ouèdo,ABOMEY-CALAVI,11,10,1986.2
Ouéga-Agué,ABOMEY-CALAVI,0,0,826.8
Ouéga-Tokpa,ABOMEY-CALAVI,0,0,501.4
Plateau,,0,0,0.0
"Plateau
",ABOMEY-CALAVI,0,0,6123.9
Saint-Jean-Gbèdiga,COTONOU,5,3,3717.8
Salamey,ABOMEY-CALAVI,0,0,2835.3
Sodjatinmè-Centre,COTONOU,1,1,903.4
Sodjatinmè-Est,COTONOU,1,1,4248.1
Sodjatinmè-Ouest,COTONOU,0,0,156.5
Sodo,,0,0,0.0
"Sodo
",ABOMEY-CALAVI,0,0,746.5
Sogan,ABOMEY-CALAVI,0,0,253.8
Sokan,ABOMEY-CALAVI,0,0,315.4
Somè,ABOMEY-CALAVI,0,0,179.4
Suru-Léré,COTONOU,8,6,2800.6
Sèdami,COTONOU,1,1,2628.3
"Sèdjannako
",ABOMEY-CALAVI,0,0,307.3
Sèdjro-Saint-Michel,COTONOU,10,5,2569.4
Sèdomey,ABOMEY-CALAVI,1,1,597.1
Sègbèya-Nord,COTONOU,1,1,1331.6
Sègbèya-Sud,COTONOU,12,7,2698.1
Sèhogan-Sikê,COTONOU,0,0,327.6
Sèmè,ABOMEY-CALAVI,0,0,157.5
Sènadé,COTONOU,5,3,2153.8
Sènadé-Sèkon,COTONOU,0,0,429.0
Sètôvi,COTONOU,1,1,726.3
Tankpè-Tanmè,ABOMEY-CALAVI,5,4,685.6
Tankpè-Togoudo,ABOMEY-CALAVI,4,0,389.1
Tankpê-Yoho,ABOMEY-CALAVI,1,0,1650.0
Tanto,COTONOU,1,1,1284.6
Tchanhounkpamè,COTONOU,1,1,865.5
"Tchinangbégbo
",ABOMEY-CALAVI,0,0,26.1
Todoté,COTONOU,0,0,639.7
Togba_Maria-Gléta,ABOMEY-CALAVI,0,0,233.1
Togbin-Daho,ABOMEY-CALAVI,3,1,13.8
Togbin-Fandji,ABOMEY-CALAVI,0,0,2069.3
Togbin-Kpèvi,ABOMEY-CALAVI,2,1,206.9
Tokan,ABOMEY-CALAVI,5,2,435.6
Tokpa,,0,0,0.0
"Tokpa
",ABOMEY-CALAVI,0,0,1246.6
Tokpa-Hoho,COTONOU,2,2,91.9
"Tokpa-Zoungo-Nord
",ABOMEY-CALAVI,0,0,990.4
Tokpa-Zoungo-Sud,,0,0,0.0
"Tokpa-Zoungo-Sud
",ABOMEY-CALAVI,0,0,2308.0
Tokplégbé,COTONOU,6,4,0.0
Tonato,COTONOU,0,0,480.7
Vodjè-Allobatin,COTONOU,1,1,1325.3
Vodjè-Ayidoté,COTONOU,1,1,3518.8
Vodjè-Centre,COTONOU,8,5,569.7
Vodjè-Finagnon,COTONOU,4,2,4196.1
Vodjè-Kpota,COTONOU,1,1,360.1
Vossa,COTONOU,1,1,346.4
Vossa-Kpodji,COTONOU,6,3,501.7
Védokô,COTONOU,8,4,1254.7
Wawata,ABOMEY-CALAVI,1,1,0.0
Womey-Centre,,0,0,0.0
"Womey-Centre
",ABOMEY-CALAVI,0,0,571.1
Womey-Yénawa,ABOMEY-CALAVI,4,1,1028.4
Xwlacôdji-Kpodji,COTONOU,1,1,1587.9
Xwlacôdji-Plage,COTONOU,1,0,8.0
Yagbé,COTONOU,4,4,3580.1
Yolomahouto,ABOMEY-CALAVI,0,0,11580.7
Yèkon-Do,ABOMEY-CALAVI,1,0,90.6
Yèvié,ABOMEY-CALAVI,0,0,6339.8
Yèvié-Nougo,ABOMEY-CALAVI,0,0,668.5
Yénandjro,,0,0,0.0
"Yénandjro
",ABOMEY-CALAVI,0,0,229.5
Yénawa,COTONOU,6,3,1909.7
Yénawa-Fifadji,COTONOU,0,0,509.2
Yévèdo,COTONOU,1,0,333.3
Yêkon-Aga,ABOMEY-CALAVI,0,0,104.6
Zinvié-Agolèdji,ABOMEY-CALAVI,1,1,5.8
Zinvié-Fandji,ABOMEY-CALAVI,2,1,1969.6
Zinvié-Zounmè,ABOMEY-CALAVI,1,1,893.2
Zogbadjè,ABOMEY-CALAVI,5,5,1397.3
Zogbo,COTONOU,19,16,4989.0
Zogbohouè,COTONOU,6,6,288.8
Zongo-Ehuzu,COTONOU,6,1,1141.5
Zongo-Nima,COTONOU,3,3,2117.6
Zopah-Akassato,ABOMEY-CALAVI,3,0,268.3
Zopah-Kokpo,ABOMEY-CALAVI,5,1,1445.2
Zoundja,,0,0,0.0
"Zoundja
",ABOMEY-CALAVI,0,0,382.8
Zounga,,0,0,0.0
"Zounga
",ABOMEY-CALAVI,0,0,2982.3
Zoungo,ABOMEY-CALAVI,2,2,2315.2
Zèkanmey,ABOMEY-CALAVI,0,0,364.1
Zèkanmey-Domè,ABOMEY-CALAVI,0,0,1214.7
Énagnon,COTONOU,0,0,5794.9
Énagnon-Sikê,COTONOU,0,0,369.4
